,Enter Chap.,#Choose Item Type,Enter Item #,Enter Figure Legend or Table/Box Title,Enter Credit Line from Chapter,Likely Needs Permission
,4,Figure,4-33,"The frequency and amplitude changes during a sustained isometric contraction of the first dorsal interosseous muscle. At the beginning (a) of the contraction measured via surface EMG, frequency decreases and as the contraction is sustained (b) there is an accompanying increase in amplitude.","Adapted from Basmajian, J. V., DeLuca, C. J. [1985]. Muscles Alive! Their Functions Revealed by Electromyography, 2nd ed. Baltimore, MD: Lippincott Williams & Wilkins, 205.",NO
,4,Figure,4-34,"Typical EMG activity of the major lower extremity muscle groups during a stride cycle of walking. FA, feet adjacent; HR, heel raise; IC, initial contact; OI, opposite initial contact; OT, opposite toe-off; TO, toe-off; TV, tibial vertical.","Reprinted with permission from Whittle, M. W. [1996]. Gait Analysis, 2nd ed. Oxford, England: Butterworth-Heinemann, 68.",NO
,5,Box,,Necessary Range of Motion at the Shoulder and Elbow,"Source: Magermans, D. J., et al. (2005). Requirements for upper extremity motions during activities of daily living. Clinical Biomechanics, 20:591-599.",NO
,6,Box,,Stages of Posterior Tibial Tendon Dysfunction,"Information from: Kulig, K., et al. (2009). Nonsurgical management of posterior tibial tendon dysfunction with orthoses and resistive exercise: A randomized control trial. Physical Therapy, 89:26-37.",NO
,6,Box,,Adolescent Athlete Injuries in the Foot,"Information from: Kennedy, J. G., et al. (2005). Foot and ankle injuries in the adolescent runners. Current Opinion in Pediatrics, 17:34-42.",NO
,7,Box,,Physical Impairment Measures for Low Back Pain Evaluation,"Data from Delitto, A., et al. (2012). Low back pain. Journal of Orthopedic Sports Physical Therapy, 42(4):A1-A57.",NO
,7,Box,,Sample Treatment Options for Chronic Low Back Pain,"Data from Chou, R. (2010). Low back pain (chronic). Clinical Evidence, 10:1116, 1-41.",NO
,7,Figure,7-9,"The cervical vertebrae (A) have two unique vertebrae, the atlas (B) and the axis (C), that are very different from a typical vertebra (D) and have specialized functions of supporting the head.","Reprinted with permission from Sobotta, J. [2001]. In R. Putz, R. Pabst (Eds.). Atlas of Human Anatomy, Vol. 2: Trunk, Viscera, Lower Limb. Philadelphia, PA: Lippincott Williams & Wilkins, Figs. 720, 723, 725, 727.",NO
,7,Figure,7-10,"The vertebrae in each region (cervical, thoracic, and lumbar) have common structural features with unique regional variations, as seen here in the anterior (A), posterior (B), and lateral (C) views.","Reprinted with permission from Sobotta, J. [2001]. In R. Putz, R. Pabst (Eds.). Atlas of Human Anatomy, Vol. 2: Trunk, Viscera, Lower Limb. Philadelphia, PA: Lippincott Williams & Wilkins, Figs. 708–710.",NO
,7,Figure,7-13,Range of motion at the individual motion segments of the spine is shown. The cervical vertebrae can produce the most range of motion at the individual motion segments.,"Redrawn from White, A. A., Panjabi, M. M. [1978]. Clinical Biomechanics of the Spine. Philadelphia, PA: Lippincott Williams & Wilkins.",NO
,7,Figure,7-27,"Trunk muscles involved in the topspin tennis serve showing the level of muscle activity (low, moderate, and high) and the type of muscle action (concentric [CON] and eccentric [ECC]) with the associated purpose.","Source: Chow, J. W. [2003]. Lower trunk muscle activity during the tennis serve. Journal of Science and Medicine in Sport, 6:512-518.",NO
,7,Figure,7-30,"The representative postures or movements are shown in order of calculated load on the lumbar vertebrae using a miniaturized pressure transducer. The standing posture imposed the least amount of load (686 N) (A), followed by the double straight-leg raise (1,176 N) (B), back hyperextension (1,470 N) (C), sit-ups with knees straight (1,715 N) (D), sit-ups with knees bent (1,764 N) (E), and bending forward with weight in the hands (1,813 N) (F).","Adapted with permission from Nachemson, A. [1976]. Lumbar intradiscal pressure. In M. Jayson (Ed.). The Lumbar Spine and Back Pain. Kent, England: Pitman Medical Publishing Company Ltd, 407-433.",NO
,8,Box,,Case Study: Femur Fracture in Professional Athlete,"Source: Sikka, E., et al. (2015). Femur fractures in professional athletes: A case series. Journal of Athletic Training, 50:442-448.",NO
